Species;Otdel;N;B;Date;Horizon;Station
Dictyocha fibula;Chry;1123.00;107.28;2015-11-03;5;Садок
Chaetoceros didymus;Bacil;982.00;1.67;2015-11-03;5;Садок
Chaetoceros mitra;Bacil;561.00;4.78;2015-11-03;5;Садок
Cocconeis scutellum;Bacil;421.00;0.55;2015-11-03;5;Садок
Coscinodiscus sp.;Bacil;561.00;70.18;2015-11-03;5;Садок
Ceratoneis closterium;Bacil;3930.00;2.17;2015-11-03;5;Садок
Ditylum brightwellii;Bacil;421.00;20.00;2015-11-03;5;Садок
Grammatophora marina;Bacil;1123.00;12.27;2015-11-03;5;Садок
Navicula transitans var. derasa;Bacil;561.00;0.85;2015-11-03;5;Садок
Navicula directa;Bacil;281.00;0.53;2015-11-03;5;Садок
Pseudo–nitzschia delicatissima;Bacil;421.00;0.04;2015-11-03;5;Садок
Pseudo–nitzschia multistriata;Bacil;35368.00;48.70;2015-11-03;5;Садок
Pseudo–nitzschia pungens;Bacil;1684.00;25.26;2015-11-03;5;Садок
Pleurosigma formosum;Bacil;140.00;8.42;2015-11-03;5;Садок
Dactyliosolen fragilissimus;Bacil;37614.00;532.58;2015-11-03;5;Садок
Rhizosolenia setigera;Bacil;7158.00;350.29;2015-11-03;5;Садок
Skeletonema sp.;Bacil;1003789.00;578.18;2015-11-03;5;Садок
Thalassionema frauenfeldii;Bacil;8281.00;84.24;2015-11-03;5;Садок
Thalassionema nitzschioides;Bacil;132491.00;589.06;2015-11-03;5;Садок
Thalassiosira sp. (d=32);Bacil;4632.00;37.23;2015-11-03;5;Садок
Ceratium fusus;Dino;281.00;9.70;2015-11-03;5;Садок
Dinophysis rotundata;Dino;140.00;1.67;2015-11-03;5;Садок
Gymnodinium blax;Dino;6456.00;3.67;2015-11-03;5;Садок
Gyrodinium fusiforme;Dino;3789.00;101.50;2015-11-03;5;Садок
Gyrodinium spirale;Dino;702.00;77.79;2015-11-03;5;Садок
Oxytoxum sceptrum;Dino;140.00;0.05;2015-11-03;5;Садок
Protoperidinium bipes;Dino;421.00;1.09;2015-11-03;5;Садок
Protoperidinium conicum;Dino;140.00;17.16;2015-11-03;5;Садок
Protoperidinium steinii;Dino;281.00;0.21;2015-11-03;5;Садок
Protoperidinium pellucidum;Dino;140.00;1.26;2015-11-03;5;Садок
Prorocentrum micans;Dino;842.00;9.94;2015-11-03;5;Садок
Scrippsiella trochoidea;Dino;140.00;0.84;2015-11-03;5;Садок
Dictyocha fibula;Chry;421.00;40.23;2015-11-17;0;Садок
Ebria tripartita;Chry;140.00;1.98;2015-11-17;0;Садок
Chaetoceros mitra;Bacil;281.00;2.39;2015-11-17;0;Садок
Cocconeis scutellum;Bacil;421.00;0.55;2015-11-17;0;Садок
Coscinodiscus sp.;Bacil;140.00;17.54;2015-11-17;0;Садок
Ceratoneis closterium;Bacil;1123.00;0.62;2015-11-17;0;Садок
Ditylum brightwellii;Bacil;140.00;6.67;2015-11-17;0;Садок
Licmophora abbreviata;Bacil;281.00;0.17;2015-11-17;0;Садок
Pseudo–nitzschia delicatissima;Bacil;5193.00;0.52;2015-11-17;0;Садок
Pseudo–nitzschia multistriata;Bacil;4491.00;6.18;2015-11-17;0;Садок
Pseudo–nitzschia pungens;Bacil;842.00;12.63;2015-11-17;0;Садок
Dactyliosolen fragilissimus;Bacil;421.00;5.96;2015-11-17;0;Садок
Rhizosolenia setigera;Bacil;1263.00;61.82;2015-11-17;0;Садок
Skeletonema sp.;Bacil;709614.00;408.74;2015-11-17;0;Садок
Thalassionema frauenfeldii;Bacil;1404.00;14.28;2015-11-17;0;Садок
Thalassionema nitzschioides;Bacil;14316.00;63.65;2015-11-17;0;Садок
Thalassiosira sp. (d=32);Bacil;2807.00;22.56;2015-11-17;0;Садок
Gymnodinium blax;Dino;421.00;0.24;2015-11-17;0;Садок
Protoperidinium conicum;Dino;140.00;17.16;2015-11-17;0;Садок
Protoperidinium pellucidum;Dino;140.00;1.26;2015-11-17;0;Садок
Scrippsiella trochoidea;Dino;140.00;0.84;2015-11-17;0;Садок
Brockmanniella brockmannii;Bacil;561.00;3.50;2015-11-17;2;Садок
Asterionellopsis glacialis;Bacil;1544.00;4.58;2015-11-17;2;Садок
Chaetoceros didymus;Bacil;140.00;0.24;2015-11-17;2;Садок
Cocconeis scutellum;Bacil;140.00;0.18;2015-11-17;2;Садок
Ceratoneis closterium;Bacil;842.00;0.46;2015-11-17;2;Садок
Grammatophora marina;Bacil;561.00;6.14;2015-11-17;2;Садок
Licmophora abbreviata;Bacil;140.00;0.08;2015-11-17;2;Садок
Pseudo–nitzschia delicatissima;Bacil;9544.00;0.95;2015-11-17;2;Садок
Pseudo–nitzschia multistriata;Bacil;8982.00;12.37;2015-11-17;2;Садок
Pseudo–nitzschia pungens;Bacil;561.00;8.42;2015-11-17;2;Садок
Dactyliosolen fragilissimus;Bacil;1684.00;23.85;2015-11-17;2;Садок
Rhizosolenia setigera;Bacil;1825.00;89.29;2015-11-17;2;Садок
Skeletonema sp.;Bacil;1125053.00;648.03;2015-11-17;2;Садок
Thalassionema frauenfeldii;Bacil;1263.00;12.85;2015-11-17;2;Садок
Thalassionema nitzschioides;Bacil;29474.00;131.04;2015-11-17;2;Садок
Thalassiosira sp. (d=32);Bacil;3509.00;28.20;2015-11-17;2;Садок
Protoperidinium conicum;Dino;281.00;34.32;2015-11-17;2;Садок
Protoperidinium minutum;Dino;140.00;2.31;2015-11-17;2;Садок
Protoperidinium pellucidum;Dino;281.00;2.53;2015-11-17;2;Садок
Prorocentrum minimum;Dino;281.00;0.37;2015-11-17;2;Садок
Scrippsiella trochoidea;Dino;140.00;0.84;2015-11-17;2;Садок
Asterionellopsis glacialis;Bacil;140.00;0.42;2015-11-17;5;Садок
Coscinodiscus sp.;Bacil;140.00;17.54;2015-11-17;5;Садок
Ceratoneis closterium;Bacil;281.00;0.16;2015-11-17;5;Садок
Licmophora abbreviata;Bacil;1123.00;0.67;2015-11-17;5;Садок
Pseudo–nitzschia delicatissima;Bacil;2105.00;0.21;2015-11-17;5;Садок
Pseudo–nitzschia multistriata;Bacil;1263.00;1.74;2015-11-17;5;Садок
Pleurosigma formosum;Bacil;140.00;8.42;2015-11-17;5;Садок
Rhizosolenia setigera;Bacil;842.00;41.21;2015-11-17;5;Садок
Skeletonema sp.;Bacil;444632.00;256.11;2015-11-17;5;Садок
Thalassionema frauenfeldii;Bacil;1965.00;19.99;2015-11-17;5;Садок
Thalassionema nitzschioides;Bacil;11789.00;52.42;2015-11-17;5;Садок
Thalassiosira sp. (d=32);Bacil;1965.00;15.79;2015-11-17;5;Садок
Gymnodinium blax;Dino;421.00;0.24;2015-11-17;5;Садок
Oxytoxum sceptrum;Dino;140.00;0.05;2015-11-17;5;Садок
Protoperidinium pellucidum;Dino;140.00;1.26;2015-11-17;5;Садок
Protoperidinium pyriforme;Dino;140.00;5.26;2015-11-17;5;Садок
Amphiprora sp.;Bacil;140.00;0.88;2015-12-01;0;Садок
Cocconeis scutellum;Bacil;140.00;0.18;2015-12-01;0;Садок
Ceratoneis closterium;Bacil;140.00;0.08;2015-12-01;0;Садок
Navicula transitans var. derasa;Bacil;140.00;0.21;2015-12-01;0;Садок
Dactyliosolen fragilissimus;Bacil;140.00;1.99;2015-12-01;0;Садок
Skeletonema sp.;Bacil;3930.00;2.26;2015-12-01;0;Садок
Oblea rotundata;Dino;140.00;0.66;2015-12-01;0;Садок
Protoperidinium pellucidum;Dino;281.00;2.53;2015-12-01;0;Садок
Pyrophacus horologium;Dino;140.00;15.62;2015-12-01;0;Садок
Cocconeis scutellum;Bacil;140.00;0.18;2015-12-01;2;Садок
Licmophora abbreviata;Bacil;140.00;0.08;2015-12-01;2;Садок
Rhizosolenia setigera;Bacil;281.00;13.74;2015-12-01;2;Садок
Skeletonema sp.;Bacil;3509.00;2.02;2015-12-01;2;Садок
Thalassionema nitzschioides;Bacil;561.00;2.50;2015-12-01;2;Садок
Thalassiosira sp. (d=32);Bacil;421.00;3.38;2015-12-01;2;Садок
Cryptomonas sp.;Cryp;281.00;0.06;2015-12-01;2;Садок
Oxytoxum sceptrum;Dino;281.00;0.09;2015-12-01;2;Садок
Oblea rotundata;Dino;140.00;0.66;2015-12-01;2;Садок
Protoperidinium pellucidum;Dino;140.00;1.26;2015-12-01;2;Садок
Prorocentrum minimum;Dino;140.00;0.18;2015-12-01;2;Садок
Cocconeis scutellum;Bacil;140.00;0.18;2015-12-01;5;Садок
Diploneis smithii;Bacil;140.00;0.60;2015-12-01;5;Садок
Licmophora abbreviata;Bacil;140.00;0.08;2015-12-01;5;Садок
Navicula sp.;Bacil;140.00;0.26;2015-12-01;5;Садок
Skeletonema sp.;Bacil;1965.00;1.13;2015-12-01;5;Садок
Thalassiosira nordenskioeldii;Bacil;281.00;11.90;2015-12-01;5;Садок
Cryptomonas sp.;Cryp;5193.00;1.18;2015-12-01;5;Садок
Gymnodinium blax;Dino;140.00;0.08;2015-12-01;5;Садок
Gyrodinium fusiforme;Dino;281.00;7.52;2015-12-01;5;Садок
Oxytoxum sceptrum;Dino;281.00;0.09;2015-12-01;5;Садок
Oblea rotundata;Dino;140.00;0.66;2015-12-01;5;Садок
Protoperidinium bipes;Dino;140.00;0.36;2015-12-01;5;Садок
Ceratoneis closterium;Bacil;281.00;0.16;2015-12-15;0;Садок
Navicula transitans var. derasa;Bacil;140.00;0.21;2015-12-15;0;Садок
Pleurosigma formosum;Bacil;140.00;8.42;2015-12-15;0;Садок
Skeletonema sp.;Bacil;1123.00;0.65;2015-12-15;0;Садок
Oblea rotundata;Dino;281.00;1.33;2015-12-15;0;Садок
Prorocentrum minimum;Dino;140.00;0.18;2015-12-15;0;Садок
Small flagellata;Small flagellata;1825.00;0.07;2015-12-15;0;Садок
Cocconeis scutellum;Bacil;140.00;0.18;2015-12-15;2;Садок
Ceratoneis closterium;Bacil;561.00;0.31;2015-12-15;2;Садок
Grammatophora marina;Bacil;140.00;1.53;2015-12-15;2;Садок
Navicula transitans var. derasa;Bacil;702.00;1.06;2015-12-15;2;Садок
Navicula directa;Bacil;281.00;0.53;2015-12-15;2;Садок
Skeletonema sp.;Bacil;2526.00;1.46;2015-12-15;2;Садок
Thalassiosira sp. (d=32);Bacil;140.00;1.13;2015-12-15;2;Садок
Cryptomonas sp.;Cryp;702.00;0.16;2015-12-15;2;Садок
Scrippsiella trochoidea;Dino;140.00;0.84;2015-12-15;2;Садок
Ceratoneis closterium;Bacil;421.00;0.23;2015-12-15;5;Садок
Grammatophora marina;Bacil;1544.00;16.87;2015-12-15;5;Садок
Licmophora abbreviata;Bacil;140.00;0.08;2015-12-15;5;Садок
Navicula transitans var. derasa;Bacil;561.00;0.85;2015-12-15;5;Садок
Navicula directa;Bacil;421.00;0.79;2015-12-15;5;Садок
Skeletonema sp.;Bacil;4772.00;2.75;2015-12-15;5;Садок
Gyrodinium spirale;Dino;281.00;31.12;2015-12-15;5;Садок
Oxytoxum sceptrum;Dino;140.00;0.05;2015-12-15;5;Садок
Protoperidinium pellucidum;Dino;140.00;1.26;2015-12-15;5;Садок
Ceratoneis closterium;Bacil;140.00;0.08;2015-12-29;0;Садок
Licmophora abbreviata;Bacil;140.00;0.08;2015-12-29;0;Садок
Navicula directa;Bacil;421.00;0.79;2015-12-29;0;Садок
Thalassionema frauenfeldii;Bacil;140.00;1.43;2015-12-29;0;Садок
Thalassiosira sp. (d=32);Bacil;6737.00;54.15;2015-12-29;0;Садок
Katodinium glaucum;Dino;140.00;0.41;2015-12-29;0;Садок
Scrippsiella trochoidea;Dino;140.00;0.84;2015-12-29;0;Садок
Ceratoneis closterium;Bacil;140.00;0.08;2015-12-29;2;Садок
Navicula transitans var. derasa;Bacil;281.00;0.42;2015-12-29;2;Садок
Navicula directa;Bacil;702.00;1.31;2015-12-29;2;Садок
Thalassiosira sp. (d=32);Bacil;9965.00;80.10;2015-12-29;2;Садок
Gyrodinium fusiforme;Dino;140.00;3.76;2015-12-29;2;Садок
Gyrodinium spirale;Dino;140.00;15.56;2015-12-29;2;Садок
Katodinium glaucum;Dino;140.00;0.41;2015-12-29;2;Садок
Ceratoneis closterium;Bacil;561.00;0.31;2015-12-29;5;Садок
Licmophora abbreviata;Bacil;140.00;0.08;2015-12-29;5;Садок
Navicula directa;Bacil;1544.00;2.89;2015-12-29;5;Садок
Odontella aurita;Bacil;281.00;6.89;2015-12-29;5;Садок
Pleurosigma formosum;Bacil;140.00;8.42;2015-12-29;5;Садок
Skeletonema sp.;Bacil;4772.00;2.75;2015-12-29;5;Садок
Thalassiosira sp. (d=32);Bacil;13614.00;109.43;2015-12-29;5;Садок
Oblea rotundata;Dino;281.00;1.33;2015-12-29;5;Садок
Chaetoceros debilis;Bacil;20057.00;21.86;2013-01-18;0;Балка_фоновая
Chaetoceros decipiens;Bacil;364.00;3.10;2013-01-18;0;Балка_фоновая
Cocconeis scutellum;Bacil;107.00;0.14;2013-01-18;0;Балка_фоновая
Ditylum brightwellii;Bacil;21.00;1.02;2013-01-18;0;Балка_фоновая
Grammatophora marina;Bacil;321.00;3.51;2013-01-18;0;Балка_фоновая
Hemiaulus hauckii;Bacil;43.00;0.40;2013-01-18;0;Балка_фоновая
Hemiaulus sinensis;Bacil;43.00;0.41;2013-01-18;0;Балка_фоновая
Licmophora abbreviata;Bacil;86.00;0.05;2013-01-18;0;Балка_фоновая
Navicula transitans var. derasa;Bacil;621.00;0.94;2013-01-18;0;Балка_фоновая
Navicula directa;Bacil;43.00;0.08;2013-01-18;0;Балка_фоновая
Pseudo–nitzschia delicatissima;Bacil;43.00;0.00;2013-01-18;0;Балка_фоновая
Odontella aurita;Bacil;43.00;1.05;2013-01-18;0;Балка_фоновая
Pseudo–nitzschia pungens;Bacil;64.00;0.96;2013-01-18;0;Балка_фоновая
Pleurosigma formosum;Bacil;21.00;1.29;2013-01-18;0;Балка_фоновая
Thalassionema frauenfeldii;Bacil;450.00;4.58;2013-01-18;0;Балка_фоновая
Thalassionema nitzschioides;Bacil;579.00;2.57;2013-01-18;0;Балка_фоновая
Thalassiosira nordenskioeldii;Bacil;22800.00;966.49;2013-01-18;0;Балка_фоновая
Dinophysis acuminata;Dino;43.00;1.58;2013-01-18;0;Балка_фоновая
Gyrodinium spirale;Dino;86.00;9.50;2013-01-18;0;Балка_фоновая
Oxytoxum sceptrum;Dino;150.00;0.05;2013-01-18;0;Балка_фоновая
Chaetoceros debilis;Bacil;11057.00;12.05;2013-02-04;0;Балка_фоновая
Chaetoceros decipiens;Bacil;107.00;0.91;2013-02-04;0;Балка_фоновая
Chaetoceros mitra;Bacil;129.00;1.10;2013-02-04;0;Балка_фоновая
Chaetoceros peruvianus;Bacil;129.00;0.29;2013-02-04;0;Балка_фоновая
Eucampia zodiacus;Bacil;43.00;0.72;2013-02-04;0;Балка_фоновая
Hemiaulus hauckii;Bacil;43.00;0.40;2013-02-04;0;Балка_фоновая
Navicula transitans var. derasa;Bacil;171.00;0.26;2013-02-04;0;Балка_фоновая
Thalassionema frauenfeldii;Bacil;64.00;0.65;2013-02-04;0;Балка_фоновая
Thalassionema nitzschioides;Bacil;64.00;0.29;2013-02-04;0;Балка_фоновая
Thalassiosira nordenskioeldii;Bacil;12600.00;534.11;2013-02-04;0;Балка_фоновая
Gyrodinium spirale;Dino;21.00;2.38;2013-02-04;0;Балка_фоновая
Oxytoxum sceptrum;Dino;86.00;0.03;2013-02-04;0;Балка_фоновая
Protoperidinium pyriforme;Dino;21.00;0.80;2013-02-04;0;Балка_фоновая
Chaetoceros convolutus;Bacil;43.00;0.29;2013-02-04;2;Балка_фоновая
Chaetoceros debilis;Bacil;2336.00;2.55;2013-02-04;2;Балка_фоновая
Chaetoceros decipiens;Bacil;150.00;1.28;2013-02-04;2;Балка_фоновая
Licmophora abbreviata;Bacil;21.00;0.01;2013-02-04;2;Балка_фоновая
Navicula transitans var. derasa;Bacil;107.00;0.16;2013-02-04;2;Балка_фоновая
Odontella aurita;Bacil;21.00;0.53;2013-02-04;2;Балка_фоновая
Thalassionema frauenfeldii;Bacil;64.00;0.65;2013-02-04;2;Балка_фоновая
Thalassionema nitzschioides;Bacil;600.00;2.67;2013-02-04;2;Балка_фоновая
Thalassiosira nordenskioeldii;Bacil;12086.00;512.31;2013-02-04;2;Балка_фоновая
Cryptomonas sp.;Cryp;43.00;0.01;2013-02-04;2;Балка_фоновая
Oxytoxum sceptrum;Dino;129.00;0.04;2013-02-04;2;Балка_фоновая
Protoperidinium pellucidum;Dino;64.00;0.58;2013-02-04;2;Балка_фоновая
Chaetoceros debilis;Bacil;1436.00;1.57;2013-02-04;5;Балка_фоновая
Navicula transitans var. derasa;Bacil;21.00;0.03;2013-02-04;5;Балка_фоновая
Thalassionema nitzschioides;Bacil;64.00;0.29;2013-02-04;5;Балка_фоновая
Thalassiosira nordenskioeldii;Bacil;4179.00;177.13;2013-02-04;5;Балка_фоновая
Chaetoceros convolutus;Bacil;29.00;0.20;2013-02-12;0;Балка_фоновая
Chaetoceros debilis;Bacil;214.00;0.23;2013-02-12;0;Балка_фоновая
Chaetoceros decipiens;Bacil;114.00;0.97;2013-02-12;0;Балка_фоновая
Chaetoceros didymus;Bacil;771.00;1.31;2013-02-12;0;Балка_фоновая
Cocconeis scutellum;Bacil;29.00;0.04;2013-02-12;0;Балка_фоновая
Hemiaulus sinensis;Bacil;43.00;0.41;2013-02-12;0;Балка_фоновая
Navicula transitans var. derasa;Bacil;200.00;0.30;2013-02-12;0;Балка_фоновая
Odontella aurita;Bacil;29.00;0.70;2013-02-12;0;Балка_фоновая
Pseudo–nitzschia pungens;Bacil;14.00;0.21;2013-02-12;0;Балка_фоновая
Thalassionema frauenfeldii;Bacil;86.00;0.87;2013-02-12;0;Балка_фоновая
Thalassionema nitzschioides;Bacil;143.00;0.64;2013-02-12;0;Балка_фоновая
Thalassiosira nordenskioeldii;Bacil;5829.00;247.07;2013-02-12;0;Балка_фоновая
Alexandrium tamarense;Dino;14.00;0.30;2013-02-12;0;Балка_фоновая
Gyrodinium spirale;Dino;14.00;1.58;2013-02-12;0;Балка_фоновая
Oxytoxum sceptrum;Dino;86.00;0.03;2013-02-12;0;Балка_фоновая
Small flagellata;Small flagellata;29.00;0.00;2013-02-12;0;Балка_фоновая
Chaetoceros atlanticus;Bacil;14.00;0.18;2013-02-12;2;Балка_фоновая
Chaetoceros contortus;Bacil;57.00;0.14;2013-02-12;2;Балка_фоновая
Chaetoceros didymus;Bacil;3600.00;6.11;2013-02-12;2;Балка_фоновая
Cocconeis scutellum;Bacil;14.00;0.02;2013-02-12;2;Балка_фоновая
Ceratoneis closterium;Bacil;14.00;0.01;2013-02-12;2;Балка_фоновая
Licmophora abbreviata;Bacil;14.00;0.01;2013-02-12;2;Балка_фоновая
Navicula transitans var. derasa;Bacil;14.00;0.02;2013-02-12;2;Балка_фоновая
Navicula directa;Bacil;14.00;0.03;2013-02-12;2;Балка_фоновая
Rhizosolenia setigera;Bacil;14.00;0.70;2013-02-12;2;Балка_фоновая
Thalassionema frauenfeldii;Bacil;186.00;1.89;2013-02-12;2;Балка_фоновая
Thalassionema nitzschioides;Bacil;186.00;0.83;2013-02-12;2;Балка_фоновая
Thalassiosira nordenskioeldii;Bacil;8286.00;351.23;2013-02-12;2;Балка_фоновая
Cryptomonas sp.;Cryp;43.00;0.01;2013-02-12;2;Балка_фоновая
Gyrodinium spirale;Dino;14.00;1.58;2013-02-12;2;Балка_фоновая
Oxytoxum sceptrum;Dino;129.00;0.04;2013-02-12;2;Балка_фоновая
Dictyocha speculum;Chry;14.00;0.05;2013-02-12;5;Балка_фоновая
Chaetoceros debilis;Bacil;129.00;0.14;2013-02-12;5;Балка_фоновая
Chaetoceros didymus;Bacil;743.00;1.26;2013-02-12;5;Балка_фоновая
Ditylum brightwellii;Bacil;14.00;0.68;2013-02-12;5;Балка_фоновая
Grammatophora marina;Bacil;43.00;0.47;2013-02-12;5;Балка_фоновая
Navicula transitans var. derasa;Bacil;129.00;0.19;2013-02-12;5;Балка_фоновая
Odontella aurita;Bacil;14.00;0.35;2013-02-12;5;Балка_фоновая
Pleurosigma formosum;Bacil;14.00;0.86;2013-02-12;5;Балка_фоновая
Thalassionema frauenfeldii;Bacil;143.00;1.45;2013-02-12;5;Балка_фоновая
Thalassionema nitzschioides;Bacil;86.00;0.38;2013-02-12;5;Балка_фоновая
Thalassiosira nordenskioeldii;Bacil;9371.00;397.26;2013-02-12;5;Балка_фоновая
Cryptomonas sp.;Cryp;14.00;0.00;2013-02-12;5;Балка_фоновая
Dinophysis acuminata;Dino;14.00;0.53;2013-02-12;5;Балка_фоновая
Gyrodinium spirale;Dino;29.00;3.17;2013-02-12;5;Балка_фоновая
Oxytoxum sceptrum;Dino;114.00;0.04;2013-02-12;5;Балка_фоновая
Prorocentrum triestinum;Dino;14.00;0.02;2013-02-12;5;Балка_фоновая
Chaetoceros decipiens;Bacil;71.00;0.61;2013-02-26;0;Балка_фоновая
Chaetoceros didymus;Bacil;1129.00;1.92;2013-02-26;0;Балка_фоновая
Hemiaulus sinensis;Bacil;29.00;0.27;2013-02-26;0;Балка_фоновая
Navicula transitans var. derasa;Bacil;57.00;0.09;2013-02-26;0;Балка_фоновая
Thalassiosira nordenskioeldii;Bacil;4800.00;203.47;2013-02-26;0;Балка_фоновая
Cryptomonas sp.;Cryp;29.00;0.01;2013-02-26;0;Балка_фоновая
Oxytoxum sceptrum;Dino;29.00;0.01;2013-02-26;0;Балка_фоновая
Protoperidinium pallidum;Dino;29.00;3.57;2013-02-26;0;Балка_фоновая
Chaetoceros didymus;Bacil;557.00;0.95;2013-02-26;2;Балка_фоновая
Diploneis smithii;Bacil;14.00;0.06;2013-02-26;2;Балка_фоновая
Licmophora abbreviata;Bacil;14.00;0.01;2013-02-26;2;Балка_фоновая
Pseudo–nitzschia pungens;Bacil;14.00;0.21;2013-02-26;2;Балка_фоновая
Thalassionema frauenfeldii;Bacil;29.00;0.29;2013-02-26;2;Балка_фоновая
Thalassiosira nordenskioeldii;Bacil;4600.00;194.99;2013-02-26;2;Балка_фоновая
Cryptomonas sp.;Cryp;43.00;0.01;2013-02-26;2;Балка_фоновая
Oxytoxum sceptrum;Dino;14.00;0.01;2013-02-26;2;Балка_фоновая
Chaetoceros atlanticus;Bacil;171.00;2.10;2013-02-26;5;Балка_фоновая
Chaetoceros debilis;Bacil;829.00;0.90;2013-02-26;5;Балка_фоновая
Chaetoceros decipiens;Bacil;29.00;0.24;2013-02-26;5;Балка_фоновая
Chaetoceros didymus;Bacil;1686.00;2.86;2013-02-26;5;Балка_фоновая
Chaetoceros mitra;Bacil;29.00;0.24;2013-02-26;5;Балка_фоновая
Licmophora abbreviata;Bacil;14.00;0.01;2013-02-26;5;Балка_фоновая
Rhizosolenia setigera;Bacil;14.00;0.70;2013-02-26;5;Балка_фоновая
Thalassionema frauenfeldii;Bacil;57.00;0.58;2013-02-26;5;Балка_фоновая
Thalassiosira nordenskioeldii;Bacil;3286.00;139.28;2013-02-26;5;Балка_фоновая
Cryptomonas sp.;Cryp;14.00;0.00;2013-02-26;5;Балка_фоновая
Gyrodinium lachryma;Dino;14.00;1.58;2013-02-26;5;Балка_фоновая
Oxytoxum sceptrum;Dino;43.00;0.01;2013-02-26;5;Балка_фоновая
Protoperidinium pellucidum;Dino;14.00;0.13;2013-02-26;5;Балка_фоновая
Chrysochromulina sp.;Chry;15900.00;1.11;2013-02-26;5;Балка_фоновая
Chaetoceros contortus;Bacil;600.00;1.47;2013-02-26;5;Балка_фоновая
Chaetoceros convolutus;Bacil;600.00;4.10;2013-02-26;5;Балка_фоновая
Chaetoceros debilis;Bacil;8100.00;8.83;2013-02-26;5;Балка_фоновая
Chaetoceros decipiens;Bacil;1350.00;11.50;2013-02-26;5;Балка_фоновая
Chaetoceros didymus;Bacil;900.00;1.53;2013-02-26;5;Балка_фоновая
Cocconeis scutellum;Bacil;300.00;0.39;2013-02-26;5;Балка_фоновая
Ceratoneis closterium;Bacil;150.00;0.08;2013-02-26;5;Балка_фоновая
Fragilaria sp.;Bacil;150.00;0.04;2013-02-26;5;Балка_фоновая
Licmophora abbreviata;Bacil;6300.00;3.78;2013-02-26;5;Балка_фоновая
Navicula transitans var. derasa;Bacil;750.00;1.13;2013-02-26;5;Балка_фоновая
Melosira moniliformis;Bacil;300.00;4.27;2013-02-26;5;Балка_фоновая
Navicula directa;Bacil;1350.00;2.53;2013-02-26;5;Балка_фоновая
Navicula sp.;Bacil;300.00;0.56;2013-02-26;5;Балка_фоновая
Pseudo–nitzschia delicatissima;Bacil;150.00;0.02;2013-02-26;5;Балка_фоновая
Guinardia delicatula;Bacil;1050.00;2.79;2013-02-26;5;Балка_фоновая
Skeletonema sp.;Bacil;300.00;0.17;2013-02-26;5;Балка_фоновая
Thalassionema frauenfeldii;Bacil;450.00;4.58;2013-02-26;5;Балка_фоновая
Thalassiosira nordenskioeldii;Bacil;77400.00;3280.99;2013-02-26;5;Балка_фоновая
Cryptomonas sp.;Cryp;600.00;0.14;2013-02-26;5;Балка_фоновая
Gymnodinium simplex;Dino;150.00;0.04;2013-02-26;5;Балка_фоновая
Gyrodinium spirale;Dino;300.00;33.26;2013-02-26;5;Балка_фоновая
Oxytoxum sceptrum;Dino;450.00;0.14;2013-02-26;5;Балка_фоновая
Eutreptia sp.;Eugle;150.00;0.16;2013-02-26;5;Балка_фоновая
Small flagellata;Small flagellata;2400.00;0.10;2013-02-26;5;Балка_фоновая
Chaetoceros danicus;Bacil;164.00;0.14;2013-04-09;2;Балка_фоновая
Cocconeis scutellum;Bacil;164.00;0.21;2013-04-09;2;Балка_фоновая
Licmophora abbreviata;Bacil;657.00;0.39;2013-04-09;2;Балка_фоновая
Navicula directa;Bacil;1643.00;3.08;2013-04-09;2;Балка_фоновая
Pleurosigma formosum;Bacil;164.00;9.86;2013-04-09;2;Балка_фоновая
Thalassionema frauenfeldii;Bacil;164.00;1.67;2013-04-09;2;Балка_фоновая
Thalassiosira sp. (d=32);Bacil;986.00;7.92;2013-04-09;2;Балка_фоновая
Gymnodinium simplex;Dino;164.00;0.05;2013-04-09;2;Балка_фоновая
Gyrodinium spirale;Dino;2300.00;254.97;2013-04-09;2;Балка_фоновая
Oxytoxum sceptrum;Dino;164.00;0.05;2013-04-09;2;Балка_фоновая
Protoperidinium bipes;Dino;164.00;0.43;2013-04-09;2;Балка_фоновая
Protoperidinium pellucidum;Dino;164.00;1.48;2013-04-09;2;Балка_фоновая
Dictyocha speculum;Chry;143.00;0.49;2013-04-09;5;Балка_фоновая
Chaetoceros debilis;Bacil;857.00;0.93;2013-04-09;5;Балка_фоновая
Ceratoneis closterium;Bacil;143.00;0.08;2013-04-09;5;Балка_фоновая
Licmophora abbreviata;Bacil;429.00;0.26;2013-04-09;5;Балка_фоновая
Odontella aurita;Bacil;1143.00;28.04;2013-04-09;5;Балка_фоновая
Rhizosolenia setigera;Bacil;143.00;6.99;2013-04-09;5;Балка_фоновая
Thalassiosira sp. (d=32);Bacil;714.00;5.74;2013-04-09;5;Балка_фоновая
Gyrodinium spirale;Dino;143.00;15.84;2013-04-09;5;Балка_фоновая
Protoperidinium brevipes;Dino;286.00;1.86;2013-04-09;5;Балка_фоновая
Protoperidinium pellucidum;Dino;571.00;5.14;2013-04-09;5;Балка_фоновая
Eutreptia lanowii;Eugle;143.00;0.15;2013-04-09;5;Балка_фоновая
Chaetoceros convolutus;Bacil;514.00;3.51;2013-04-23;0;Балка_фоновая
Chaetoceros didymus;Bacil;1714.00;2.91;2013-04-23;0;Балка_фоновая
Licmophora abbreviata;Bacil;343.00;0.21;2013-04-23;0;Балка_фоновая
Navicula sp.;Bacil;2057.00;3.85;2013-04-23;0;Балка_фоновая
